"nom_loc","cve_col","nom_col","viviendas_totales","poblacion_total","pctj_mujeres","pctj_hombres","pctj_menores18","pctj_adultos18_59","pctj_60ymas","escolaridad_años_prom","nivel_escolaridad_prom"
"Ciudad Obregón","26018000173","CAJEME",1788,5467,"50.3%","49.7%","28%","54.2%","17.8%",8.4,"Primaria"
"Ciudad Obregón","26018000174","SAN ANTONIO",264,821,"48.8%","51.2%","31.2%","64.4%","4.4%",9.5,"Secundaria"
"Ciudad Obregón","26018000175","VILLAS DE GUADALUPE",118,409,"46%","54%","35.9%","57.9%","6.1%",9,"Secundaria"
"Ciudad Obregón","26018000176","NUEVO AMANECER",396,782,"49.4%","50.6%","36.1%","58.2%","5.8%",9.1,"Secundaria"
"Ciudad Obregón","26018000178","PIONEROS DE CAJEME",689,1556,"48.1%","51.9%","37.1%","54.5%","8.4%",8.6,"Primaria"
"Ciudad Obregón","26018000179","LOS ANGELES",419,1036,"50.7%","49.3%","33.5%","57.6%","8.9%",9.7,"Secundaria"
"Ciudad Obregón","26018000181","MIRA SIERRA",391,1127,"53.3%","46.7%","25.4%","69.7%","4.9%",11.9,"Secundaria"
"Ciudad Obregón","26018000182","LINDA VISTA",360,994,"53%","47%","25.6%","64.5%","10%",11.6,"Secundaria"
"Ciudad Obregón","26018000184","LAS HACIENDAS",3204,8839,"50.7%","49.3%","37.3%","60.1%","2.6%",10.8,"Secundaria"
"Ciudad Obregón","26018000186","SIERRA VISTA",241,612,"49.2%","50.8%","29.9%","66.3%","3.8%",10.7,"Secundaria"
"Ciudad Obregón","26018000187","AMANECER DEL VALLE",212,676,"53.7%","46.3%","35.8%","60.4%","3.8%",9.7,"Secundaria"
"Ciudad Obregón","26018000188","AMANECERES",198,149,"48%","52%","51.7%","38.9%","9.4%",12.6,"Secundaria"
"Ciudad Obregón","26018000191","DESIERTO DE ALTAR",217,560,"53.5%","46.5%","21.1%","62.3%","16.6%",14.4,"Preparatoria"
"Ciudad Obregón","26018000192","QUINTA DIAZ",385,905,"54.9%","45.1%","16.8%","51.3%","31.9%",13.7,"Preparatoria"
"Ciudad Obregón","26018000195","LA JOYA",126,332,"51.2%","48.8%","20.2%","65.4%","14.5%",13.9,"Preparatoria"
"Ciudad Obregón","26018000197","VILLA CALIFORNIA",609,1499,"51.8%","48.2%","15.1%","61.9%","22.9%",14.1,"Preparatoria"
"Ciudad Obregón","26018000198","FOVISSSTE",250,604,"54.8%","45.2%","17.9%","56.6%","25.5%",13.2,"Preparatoria"
"Ciudad Obregón","26018000199","LAS CODORNICES",116,338,"53.3%","46.7%","26.3%","63.9%","9.8%",14,"Preparatoria"
"Cuauhtémoc (Campo Cinco)","260180093733","EJIDO CUAUHTEMOC (CAMPO 5)",762,2493,"49.9%","50.1%","26.8%","56%","17.3%",9.1,"Secundaria"
"Cócorit","2601802842219","LA HUERTA",160,541,"51.4%","48.6%","36%","56.2%","7.8%",7.8,"Primaria"
"Cócorit","260180284799","CAMPESTRE",93,280,"47.9%","52.1%","30%","56.8%","13.2%",8.1,"Primaria"
"Cócorit","260180284802","CENTRO",1069,3010,"49.9%","50.1%","25.3%","52.3%","22.5%",10.2,"Secundaria"
"Cócorit","260180284807","SAN JOSE",223,688,"45.6%","54.4%","29.8%","52.3%","17.9%",8.2,"Primaria"
"Cócorit","260180284811","EL CONTY",137,498,"46.8%","53.2%","35.7%","56%","8.2%",7.9,"Primaria"
"Cócorit","260180284813","EDUARDO ESTRELLA",161,564,"50.9%","49.1%","31.9%","52%","16.1%",8.5,"Primaria"
"Cócorit","260180284815","VIVIANO MURRIETA",116,366,"50.4%","49.6%","27%","53%","19.9%",8.7,"Primaria"
"Cócorit","260180284825","BALDIO",8,5,NA,NA,NA,NA,NA,NA,NA
"Esperanza","260180284825","BALDIO",60,169,"54.4%","45.6%","36.1%","60.4%","3.6%",10.1,"Secundaria"
"Esperanza","2601803111134","PRADERAS ALTAS",5,5,NA,NA,NA,NA,NA,NA,NA
"Esperanza","2601803111866","ALAMEDA AMPLIACION",1323,4197,"52.2%","47.8%","36.9%","59.7%","3.4%",10.1,"Secundaria"
"Esperanza","2601803111990","JARDIN DEL NORTE",10,19,NA,NA,NA,NA,NA,NA,NA
"Esperanza","2601803112269","AMPLIACION VALLE DE HEROES",53,169,"45.7%","54.3%","52.1%","42.6%","5.3%",8.4,"Primaria"
"Esperanza","260180311761","VILLA BONITA",5388,14671,"51.1%","48.9%","29.8%","63.9%","6.3%",11.3,"Secundaria"
"Esperanza","260180311764","PRADERAS",181,513,"50.9%","49.1%","34.7%","61.8%","3.5%",10,"Secundaria"
"Esperanza","260180311766","NUEVA ESPERANZA",596,1648,"50.3%","49.7%","25%","53.2%","21.8%",10.1,"Secundaria"
"Esperanza","260180311767","60 BATALLON DE INFANTERIA",68,164,"50%","50%","45.7%","54.3%","0%",10.8,"Secundaria"
"Esperanza","260180311768","VALLE DE HEROES",239,688,"46%","54%","35.8%","56.7%","7.6%",8.6,"Primaria"
"Esperanza","260180311769","AMPLIACION BLANCA RAMOS",36,119,"48.6%","51.4%","37.8%","62.2%","0%",9.8,"Secundaria"
"Esperanza","260180311770","CENTRO",1729,4717,"52.3%","47.7%","22%","52.8%","25.1%",10.4,"Secundaria"
"Esperanza","260180311771","SONORA",357,972,"50.5%","49.5%","20.4%","56%","23.7%",10.7,"Secundaria"
"Esperanza","260180311772","PUEBLO NUEVO",68,206,"46.1%","53.9%","22.8%","56.8%","20.4%",10,"Secundaria"
"Esperanza","260180311773","LUIS ANTILLON",135,370,"55.1%","44.9%","21.4%","50.5%","28.1%",9.7,"Secundaria"
"Esperanza","260180311774","HOGAR Y PATRIMONIO",259,729,"51.7%","48.3%","25.2%","55.3%","19.5%",9.9,"Secundaria"
"Esperanza","260180311775","EJIDAL",339,1071,"49.3%","50.7%","25.5%","56.6%","17.9%",10,"Secundaria"
"Esperanza","260180311776","AMPLIACION LEANDRO VALLE",275,823,"46.9%","53.1%","32.3%","56.1%","11.5%",8.3,"Primaria"
"Esperanza","260180311777","LEANDRO VALLE",401,1333,"49.6%","50.4%","33.4%","55.8%","10.8%",8.9,"Primaria"
"Esperanza","260180311778","BLANCA RAMOS",263,771,"50.2%","49.8%","30.7%","59.7%","9.6%",9.9,"Secundaria"
"Esperanza","260180311779","FERROCARRIL",20,60,"47.4%","52.6%","33.3%","45%","21.7%",9.3,"Secundaria"
"Esperanza","260180311781","BUENA VISTA",76,212,"47.2%","52.8%","25.9%","55.2%","18.9%",9.1,"Secundaria"
"Esperanza","260180311784","CLUB DE GOLF",0,0,NA,NA,NA,NA,NA,NA,NA
"Esperanza","260180311795","NUEVA CREACION",130,407,"53.1%","46.9%","30.5%","63.6%","5.9%",10.3,"Secundaria"
"Cócorit","260180311797","ALAMEDA COCORIT",499,1463,"51.4%","48.6%","25.8%","64.2%","10%",12.2,"Secundaria"
"Esperanza","260180311797","ALAMEDA COCORIT",1180,3456,"50.1%","49.9%","28.6%","65.2%","6.2%",11.2,"Secundaria"
"Esperanza","260180311835","FRANCISCO URBALEJO",358,1088,"50.2%","49.8%","29.5%","53.6%","16.9%",8.2,"Primaria"
"Esperanza","260180311836","ROBINSON BOURS",180,580,"51.6%","48.4%","30.9%","52.9%","16.2%",8.8,"Primaria"
"Marte R. Gómez (Tobarito)","2601803342066","LOS FUNDADORES",213,620,"51.5%","48.5%","40.2%","53.5%","6.3%",9,"Secundaria"
"Marte R. Gómez (Tobarito)","2601803342120","DEL VALLE",52,184,"50%","50%","44%","54.3%","1.6%",9.2,"Secundaria"
"Marte R. Gómez (Tobarito)","260180334851","MARTE R GOMEZ",898,2628,"50.8%","49.2%","26.6%","54.5%","18.9%",9.7,"Secundaria"
"Marte R. Gómez (Tobarito)","260180334854","LA ESTRELLITA",106,283,"51.6%","48.4%","29.7%","53%","17.3%",8.6,"Primaria"
"Marte R. Gómez (Tobarito)","260180334858","TOBARITO",437,1309,"50.8%","49.2%","26.5%","51.9%","21.6%",9.6,"Secundaria"
"Marte R. Gómez (Tobarito)","260180334860","LOS TRIGALES",276,879,"50.9%","49.1%","32.2%","57.7%","10.1%",9.5,"Secundaria"
"Marte R. Gómez (Tobarito)","260180334862","ZONA URBANA",788,2564,"50%","50%","29.8%","57.6%","12.6%",9.4,"Secundaria"
"Providencia","260180364279","ARMANDO LOPEZ NOGALES",82,202,"54.2%","45.8%","46.5%","50.5%","3%",10.3,"Secundaria"
"Providencia","260180364709","SEVERO GIRON",376,1123,"50%","50%","25.1%","55.3%","19.6%",9.8,"Secundaria"
"Providencia","260180364713","AMPLIACION SEVERO GIRON",170,537,"49.8%","50.2%","31.5%","61.3%","7.3%",9.6,"Secundaria"
"Providencia","260180364838","LA PALMA",65,247,"49.8%","50.2%","26.7%","52.6%","20.6%",8.9,"Primaria"
"Providencia","260180364839","CENTRO",569,1643,"50%","50%","26.5%","53.7%","19.8%",9.9,"Secundaria"
"Providencia","260180364844","CIUDAD DEL CIELO",2,1,NA,NA,NA,NA,NA,NA,NA
"Providencia","260180364846","ZONA ESCOLAR",33,99,"47.5%","52.5%","27.3%","50.5%","22.2%",9.4,"Secundaria"
"Providencia","260180364848","SIN LEY",94,258,"49.2%","50.8%","27.9%","50.4%","21.7%",9.9,"Secundaria"
"Quetchehueca","260180365723","QUETCHEHUECA",963,3002,"48.8%","51.2%","29.8%","52.4%","17.8%",9.1,"Secundaria"
"Pueblo Yaqui","2601804036351","VIDA DIGNA",419,1203,"51.5%","48.5%","43.3%","53.9%","2.8%",9,"Secundaria"
"Pueblo Yaqui","2601804036641","NUEVA CREACION",306,958,"51.3%","48.7%","47.6%","50.2%","2.2%",8.9,"Primaria"
"Pueblo Yaqui","260180403864","JAVIER LAMARQUE CANO",356,1164,"50.9%","49.1%","36.7%","57.7%","5.6%",8.9,"Primaria"
"Pueblo Yaqui","260180403865","HEROES DEL 47",883,2564,"50.6%","49.4%","24.6%","54.3%","21.1%",9.5,"Secundaria"
"Pueblo Yaqui","260180403866","MARTIRES DE SAN IGNACIO",237,673,"49.3%","50.7%","33.9%","55.1%","11%",8.2,"Primaria"
"Pueblo Yaqui","260180403867","CENTRO",351,892,"49.1%","50.9%","22.2%","53.5%","24.3%",10.4,"Secundaria"
"Pueblo Yaqui","260180403869","ZONA EJIDAL",526,1413,"48.7%","51.3%","25.2%","53.4%","21.4%",9.3,"Secundaria"
"Pueblo Yaqui","260180403870","CAMPESTRE",262,731,"50.3%","49.7%","26.8%","55%","18.2%",9.3,"Secundaria"
"Pueblo Yaqui","260180403871","RODOLFO FELIX VALDEZ",481,1433,"49.5%","50.5%","28.1%","56.2%","15.7%",9.1,"Secundaria"
"Pueblo Yaqui","260180403872","JUAREZ BLANCAS",196,494,"51%","49%","24.7%","54.5%","20.9%",10.5,"Secundaria"
"Pueblo Yaqui","260180403873","ZONA URBANA",851,2643,"50.4%","49.6%","29%","55.6%","15.4%",9,"Secundaria"
"Heroica Cananea","2601900012153","CANANEA VIEJA SECTOR SUR",595,1491,"50%","50%","33.1%","51%","15.9%",9.7,"Secundaria"
"Heroica Cananea","2601900012189","PETROLEROS",584,1778,"49.9%","50.1%","34.1%","54.6%","11.3%",8.9,"Primaria"
"Heroica Cananea","2601900016395","VILLAS DE CANANEA",218,689,"48.6%","51.4%","45.7%","54.3%","0%",10.4,"Secundaria"
"Heroica Cananea","2601900016396","RECINTO M3 CAMPAMENTO",116,51,"42.9%","57.1%","31.4%","68.6%","0%",14.7,"Preparatoria"
"Heroica Cananea","2601900016397","BUENA VISTA",12,45,"51.1%","48.9%","42.2%","57.8%","0%",15.8,"Licenciatura"
"Heroica Cananea","2601900016461","LAS LOMAS RESIDENCIAL",269,890,"49.3%","50.7%","44.2%","55.8%","0%",11.8,"Secundaria"
"Heroica Cananea","2601900016508","EL ROMERILLO",2,5,NA,NA,NA,NA,NA,NA,NA
"Heroica Cananea","2601900016509","1RO DE JUNIO INFONAVIT",209,593,"52.4%","47.6%","26.8%","56.2%","17%",10.8,"Secundaria"
"Heroica Cananea","2601900016510","MESA SUR",369,967,"50.8%","49.2%","29.6%","53.4%","17.1%",10.4,"Secundaria"
"Heroica Cananea","2601900016511","EL CORREO",1,7,NA,NA,NA,NA,NA,NA,NA
"Heroica Cananea","2601900016525","RECINTOS DEL COBRE",20,67,"44.8%","55.2%","43.3%","56.7%","0%",14.4,"Preparatoria"
"Heroica Cananea","260190001783","EL DORADO",643,2179,"51.2%","48.8%","41.2%","56%","2.8%",10.1,"Secundaria"
"Heroica Cananea","260190001785","NAPOLEON GOMEZ SADA",700,2363,"49.4%","50.6%","37.4%","59.7%","2.9%",10.3,"Secundaria"
"Heroica Cananea","260190001786","NUEVO CANANEA",922,2643,"50.4%","49.6%","34.8%","60.5%","4.7%",11.1,"Secundaria"
"Heroica Cananea","260190001788","LEYES DE REFORMA 2",521,1656,"50.8%","49.2%","34%","57.1%","8.9%",9.9,"Secundaria"
"Heroica Cananea","260190001789","LEYES DE REFORMA 1",325,874,"52.2%","47.8%","34.4%","51.8%","13.7%",9.2,"Secundaria"
"Heroica Cananea","260190001791","PETROLEROS 2",83,239,"49.8%","50.2%","36%","57.3%","6.7%",8.2,"Primaria"
"Heroica Cananea","260190001792","MESA DE GARIBAY",46,149,"45%","55%","40.3%","55%","4.7%",9.4,"Secundaria"
"Heroica Cananea","260190001794","FUCUY",59,144,"60.4%","39.6%","27.8%","52.8%","19.4%",10,"Secundaria"
"Heroica Cananea","260190001796","EL BARRILITO",121,315,"47.6%","52.4%","35.9%","57.8%","6.3%",9.7,"Secundaria"
"Heroica Cananea","260190001798","EL VOLTEADERO",212,614,"51.1%","48.9%","38.9%","55.4%","5.7%",9.4,"Secundaria"
"Heroica Cananea","260190001800","EL PEÑASCAL",106,301,"50.2%","49.8%","31.6%","54.2%","14.3%",9.1,"Secundaria"
"Heroica Cananea","260190001803","LA ESTACION",209,546,"51.3%","48.7%","31.9%","52.7%","15.4%",9.2,"Secundaria"
"Heroica Cananea","260190001804","EL LLANITO",46,119,"50.4%","49.6%","27.7%","45.4%","26.9%",9.6,"Secundaria"
"Heroica Cananea","260190001805","EL GREEN",134,315,"48.7%","51.3%","31.4%","53.3%","15.2%",9.5,"Secundaria"
"Heroica Cananea","260190001808","BUROCRATA",370,869,"49.9%","50.1%","27.2%","56.3%","16.6%",11.3,"Secundaria"
"Heroica Cananea","260190001809","RIO BLANCO",97,266,"49.2%","50.8%","29.7%","66.5%","3.8%",11.7,"Secundaria"
"Heroica Cananea","260190001810","LINDA VISTA",87,207,"52.2%","47.8%","27.5%","50.7%","21.7%",13,"Preparatoria"
"Heroica Cananea","260190001812","MINERA 2",408,1008,"51.9%","48.1%","23.1%","51.3%","25.6%",11.7,"Secundaria"
"Heroica Cananea","260190001814","INDUSTRIAL",38,107,"47.7%","52.3%","41.1%","53.3%","5.6%",10.2,"Secundaria"
"Heroica Cananea","260190001816","SANTA TERESA",353,1146,"50.3%","49.7%","30.7%","60.7%","8.6%",11,"Secundaria"
"Heroica Cananea","260190001817","LOS ANGARES",159,485,"49.3%","50.7%","36.5%","59%","4.5%",11.3,"Secundaria"
"Heroica Cananea","260190001819","VALLE GRANDE",195,556,"50.7%","49.3%","40.6%","56.1%","3.2%",12.1,"Secundaria"
"Heroica Cananea","260190001821","AGROPECUARIA",573,1356,"49.1%","50.9%","29.1%","59.2%","11.7%",11.6,"Secundaria"
"Heroica Cananea","260190001824","VALLE DORADO",240,612,"51.5%","48.5%","30.7%","54.2%","15%",10.7,"Secundaria"
"Heroica Cananea","260190001827","MARTIRES DE CANANEA",512,1677,"49%","51%","36.1%","57.9%","6%",10.8,"Secundaria"
"Heroica Cananea","260190001828","CAMPESTRE ORIENTE",348,1000,"51.7%","48.3%","39.4%","58%","2.6%",12,"Secundaria"
"Heroica Cananea","260190001829","CAMPESTRE",228,539,"46.8%","53.2%","37.8%","51.6%","10.6%",14.1,"Preparatoria"
"Heroica Cananea","260190001830","PLANTA NUEVA",309,823,"50.6%","49.4%","28.8%","53.9%","17.3%",10.1,"Secundaria"
"Heroica Cananea","260190001833","FORTIN",192,493,"51.3%","48.7%","29%","52.7%","18.3%",9.5,"Secundaria"
"Heroica Cananea","260190001841","TRES MARIAS",57,153,"47.1%","52.9%","28.1%","58.8%","13.1%",10.5,"Secundaria"
"Heroica Cananea","260190001842","CANANEA CENTRO",178,311,"54.5%","45.5%","24.4%","48.9%","26.7%",10.3,"Secundaria"
"Heroica Cananea","260190001843","EL FARO",134,374,"52.9%","47.1%","29.9%","54%","16%",10,"Secundaria"
"Heroica Cananea","260190001845","CEMENTERIO VIEJO",643,1593,"51.3%","48.7%","27.3%","49.4%","23.3%",10.5,"Secundaria"
"Heroica Cananea","260190001847","EL HOYO",172,504,"51.8%","48.2%","30.8%","53.8%","15.5%",9.4,"Secundaria"
"Heroica Cananea","260190001849","LOS PINOS",651,1469,"49.8%","50.2%","27.6%","55.4%","17%",11.4,"Secundaria"
"Heroica Cananea","260190001850","ESTADIO",70,166,"49.4%","50.6%","28.3%","54.8%","16.9%",11.4,"Secundaria"
"Heroica Cananea","260190001852","SAN ISIDRO",191,481,"49.7%","50.3%","24.3%","50.3%","25.4%",10.2,"Secundaria"
"Heroica Cananea","260190001853","MESA NORTE",80,190,"50.3%","49.7%","27.9%","58.9%","13.2%",14.4,"Preparatoria"
"Heroica Cananea","260190001855","ROMERO",45,133,"51.9%","48.1%","34.6%","45.9%","19.5%",8.5,"Primaria"
"Heroica Cananea","260190001856","AYUNTAMIENTO",265,902,"51.5%","48.5%","37%","54.1%","8.9%",9.4,"Secundaria"
"Heroica Cananea","260190001857","RECINTOS DE COLOR",0,0,NA,NA,NA,NA,NA,NA,NA
"Heroica Cananea","260190001859","VALLE DEL COBRE",224,566,"51.8%","48.2%","29%","54.8%","16.3%",12.8,"Secundaria"
"Heroica Cananea","260190001861","NUEVA BUENA VISTA",94,193,"51.3%","48.7%","20.2%","57%","22.8%",12,"Secundaria"
"Heroica Cananea","260190001863","EL RONQUILLO",375,830,"52.2%","47.8%","28%","52.9%","19.2%",10.5,"Secundaria"
"Carbó","2602000011192","CENTRO",1143,3332,"48.5%","51.5%","32.6%","53.5%","13.8%",8.5,"Primaria"
"Carbó","2602000011193","EL CHAMIZAL",68,247,"50.6%","49.4%","32%","52.6%","15.4%",7.4,"Primaria"
"Carbó","2602000016283","FERROCARRIL",114,274,"50.4%","49.6%","31.8%","55.1%","13.1%",7.8,"Primaria"
"Carbó","2602000016392","COLOSIO",180,628,"49.9%","50.1%","42.2%","53.8%","4%",8.2,"Primaria"
"La Colorada","260210001447","LA COLORADA",215,394,"49.7%","50.3%","43.1%","45.9%","10.9%",8.8,"Primaria"
"Cucurpe","2602200016484","CUCURPE",286,542,"46.8%","53.2%","35.2%","54.1%","10.7%",8.1,"Primaria"
"Cucurpe","2602200016628","EL MOLINO",27,48,"44.7%","55.3%","35.4%","54.2%","10.4%",7.6,"Primaria"
"Cumpas","2602300012058","LOS HUITOS",7,24,"50%","50%","16.7%","66.7%","16.7%",9.5,"Secundaria"
"Cumpas","260230001399","NORTE",250,545,"49.9%","50.1%","31.4%","52.5%","16.1%",10.2,"Secundaria"
"Cumpas","260230001401","PEDREGOZA",53,89,"50%","50%","29.2%","42.7%","28.1%",11,"Secundaria"
"Cumpas","260230001403","CENTRO",469,1057,"52.7%","47.3%","32%","52.2%","15.8%",10.7,"Secundaria"
"Cumpas","260230001577","LOS MOCHIS",175,368,"49.9%","50.1%","27.7%","52.2%","20.1%",9.3,"Secundaria"
"Cumpas","2602300016225","NUEVO",128,321,"51.5%","48.5%","42.4%","51.4%","6.2%",10.4,"Secundaria"
"Cumpas","2602300016246","VIVAH",20,44,"34.6%","65.4%","61.4%","38.6%","0%",10.8,"Secundaria"
"Cumpas","2602300016273","LA LOMA",170,370,"50.4%","49.6%","35.4%","53.8%","10.8%",10.3,"Secundaria"
"Cumpas","2602300016424","NUEVO SONORA",70,112,"49.5%","50.5%","42.9%","57.1%","0%",10.7,"Secundaria"
"Divisaderos","260240001381","CENTRO",368,680,"48.7%","51.3%","38.8%","41.9%","19.3%",8.5,"Primaria"
"Divisaderos","2602400016422","VIVAH",40,73,"38.4%","61.6%","52.1%","47.9%","0%",9.4,"Secundaria"
"Empalme","2602500011084","29 DE SEPTIEMBRE",145,264,"48.2%","51.8%","38.3%","59.1%","2.7%",10.1,"Secundaria"
"Empalme","2602500011117","FERROCARRILERO",159,390,"54.4%","45.6%","38.2%","58.5%","3.3%",9.3,"Secundaria"
"Empalme","260250001130","LINDA VISTA",70,165,"46.7%","53.3%","33.3%","61.8%","4.8%",9.2,"Secundaria"
"Empalme","260250001131","JACARANDA",90,225,"50.2%","49.8%","36%","54.2%","9.8%",9.4,"Secundaria"
"Empalme","260250001132","EL SAHUARAL",845,2373,"50.8%","49.2%","34%","59.6%","6.4%",9.9,"Secundaria"
"Empalme","260250001133","7 DE ENERO",38,108,"51.9%","48.1%","29.6%","61.1%","9.3%",9.2,"Secundaria"
"Empalme","260250001134","INF GUADALUPE",678,1747,"50.5%","49.5%","34.3%","58.2%","7.5%",10.2,"Secundaria"
"Empalme","2602500011342","LUIS DONALDO COLOSIO (GOBERNACION)",94,313,"47.1%","52.9%","34.5%","56.9%","8.6%",8.8,"Primaria"
"Empalme","260250001136","PALMARES",144,423,"53.1%","46.9%","40.9%","57.4%","1.7%",9.7,"Secundaria"
"Empalme","260250001137","NUEVO EMPALME",109,270,"50.4%","49.6%","26.3%","64.4%","9.3%",11.9,"Secundaria"
"Empalme","260250001138","GUADALUPE",320,932,"50.9%","49.1%","32.5%","61.7%","5.8%",10.7,"Secundaria"
"Empalme","260250001142","VILLA DORADA",602,1538,"50.7%","49.3%","35.3%","62.9%","1.8%",10.5,"Secundaria"
"Empalme","260250001143","BAHIA DEL SOL",224,687,"54.8%","45.2%","30.7%","50.9%","18.3%",10.3,"Secundaria"
"Empalme","260250001146","LIBERTAD",1340,3638,"50.4%","49.6%","25.9%","56.2%","17.8%",11,"Secundaria"
"Empalme","260250001147","ORIENTE",554,1212,"52.2%","47.8%","24.7%","53.8%","21.5%",10.6,"Secundaria"
"Empalme","260250001149","PASCUAL ORTIZ RUBIO",911,2176,"51.4%","48.6%","24.5%","52.8%","22.7%",10.1,"Secundaria"
"Empalme","260250001151","JORDAN",813,2420,"50.5%","49.5%","31.6%","54.3%","14%",9.8,"Secundaria"
"Empalme","260250001153","JUAREZ",1341,3707,"51.2%","48.8%","33.9%","53.3%","12.8%",9.2,"Secundaria"
"Empalme","260250001154","MODERNA NORTE",293,863,"50.2%","49.8%","34%","51.7%","14.4%",9.6,"Secundaria"
"Empalme","260250001155","MODERNA",2787,6790,"52.1%","47.9%","25.1%","52.7%","22.2%",11,"Secundaria"
"Empalme","260250001156","DR IGNACIO CHAVEZ MENDEZ",36,69,"52.2%","47.8%","15.9%","72.5%","11.6%",11,"Secundaria"
"Empalme","260250001158","BELLA VISTA",363,1076,"48.6%","51.4%","29.3%","55.9%","14.8%",9.5,"Secundaria"
"Empalme","260250001160","PITIC",318,963,"48.4%","51.6%","35.8%","54.1%","10.1%",8.2,"Primaria"
"Empalme","260250001161","PESQUEIRA",166,413,"46.8%","53.2%","36.3%","55%","8.7%",8.2,"Primaria"
"Empalme","260250001163","RONALDO CAMACHO DURAN",701,2261,"49.4%","50.6%","36.1%","54.7%","9.2%",8.7,"Primaria"
"Empalme","260250001165","AMPLIACION RONALDO CAMACHO DURAN",102,302,"51%","49%","50.7%","45.4%","4%",7.3,"Primaria"
"Empalme","260250001168","KILOMETRO DOS (ORIENTE)",84,246,"48.1%","51.9%","30.5%","54.9%","14.6%",9.8,"Secundaria"
"Empalme","260250001169","KILOMETRO DOS (PONIENTE)",147,341,"49.9%","50.1%","28.4%","54.5%","17%",9.4,"Secundaria"
"Empalme","260250001171","SIN NOMBRE 171",3,4,NA,NA,NA,NA,NA,NA,NA
"Empalme","260250001172","LA LADRILLERA",156,354,"46.4%","53.6%","39%","51.7%","9.3%",8.9,"Primaria"
"Empalme","260250001173","AMPLIACION JORDAN",30,70,"54.5%","45.5%","32.9%","55.7%","11.4%",9,"Secundaria"
"Empalme","2602500012267","MAQUILAS TETA KAWI",0,0,NA,NA,NA,NA,NA,NA,NA
"Empalme","2602500012315","VILLA DORADA 2",419,865,"44.9%","55.1%","33.2%","63%","3.8%",9,"Secundaria"
"Empalme","2602500016267","LOS PORTALES",74,197,"48.7%","51.3%","31%","67%","2%",10,"Secundaria"
"Empalme","2602500016363","REVOLUCION",45,104,"45.5%","54.5%","43.3%","51.9%","4.8%",8.7,"Primaria"
"Empalme","2602500016450","RCDAL SAHUARO",44,128,"51.6%","48.4%","42.2%","57.8%","0%",9.8,"Secundaria"
"Empalme","2602500016453","PRIVADAS PRADO BONITO",506,1249,"52.6%","47.4%","41.2%","57.8%","1%",10.4,"Secundaria"
"Etchojoa","2602600011132","LAURA ALICIA FRIAS DE LOPEZ NOGALES",47,124,"50%","50%","32.3%","62.9%","4.8%",11.7,"Secundaria"
"Etchojoa","260260001203","EL RASTRO",421,1400,"50%","50%","26.1%","53.1%","20.7%",10.6,"Secundaria"
"Etchojoa","2602600012229","DR JOSE SALVADOR VALENZUELA GUERRA",173,462,"50.6%","49.4%","43.7%","52.6%","3.7%",8.3,"Primaria"
"Etchojoa","260260001307","OLEGARIO CARRILLO",103,399,"51.6%","48.4%","34.6%","59.1%","6.3%",9.5,"Secundaria"
"Etchojoa","260260001308","OBRERA",40,98,"50.5%","49.5%","32.7%","64.3%","3.1%",11.3,"Secundaria"
"Etchojoa","260260001311","EL PANTEON",192,554,"50.7%","49.3%","22.6%","52.2%","25.3%",11,"Secundaria"
"Etchojoa","260260001312","NUEVA REUBICACION",234,825,"48.6%","51.4%","28.4%","54.8%","16.8%",10.2,"Secundaria"
"Etchojoa","260260001313","SOLIDARIDAD",48,176,"52.8%","47.2%","31.2%","61.4%","7.4%",10.7,"Secundaria"
"Etchojoa","260260001477","EL JITO",528,1742,"49.8%","50.2%","26.9%","53.8%","19.3%",10.9,"Secundaria"
"Etchojoa","260260001482","ARMANDO LOPEZ NOGALES",206,627,"50.2%","49.8%","36.2%","57.1%","6.7%",10.5,"Secundaria"
"Etchojoa","260260001489","BELTRONES",68,176,"47.9%","52.1%","46%","52.3%","1.7%",10.7,"Secundaria"
"Etchojoa","260260001490","LEOBARDO IBARRA GANDARA",16,44,"47.7%","52.3%","36.4%","63.6%","0%",11.2,"Secundaria"
"Etchojoa","260260001493","EL CRUCERO",153,476,"49.8%","50.2%","22.5%","55.9%","21.6%",10.5,"Secundaria"
"Etchojoa","260260001499","PROGRESISTA",52,176,"52.3%","47.7%","32.4%","51.1%","16.5%",9.9,"Secundaria"
"Etchojoa","260260001507","13 DE OCTUBRE",93,314,"50.3%","49.7%","34.4%","60.8%","4.8%",9.8,"Secundaria"
"Etchojoa","260260001515","14 DE FEBRERO",19,66,"37.1%","62.9%","30.3%","57.6%","12.1%",8.1,"Primaria"
"Etchojoa","260260001520","LUIS DONALDO COLOSIO",306,1059,"51.4%","48.6%","27.9%","61.6%","10.6%",12.2,"Secundaria"
"Etchojoa","260260001523","PUEBLO VIEJO",37,103,"46.6%","53.4%","44.7%","44.7%","10.7%",8.7,"Primaria"
"Etchojoa","260260001528","INDEPENDIENTE",82,265,"49.8%","50.2%","29.8%","58.9%","11.3%",10,"Secundaria"
"Etchojoa","2602600016376","NUEVA ESPERANZA",216,415,"53.4%","46.6%","42.2%","55.4%","2.4%",9.2,"Secundaria"
"Etchojoa","2602600016456","19 DE JULIO",72,240,"49.6%","50.4%","42.9%","57.1%","0%",10.3,"Secundaria"
